employee,employee_id,labor_category,clearance,contract_no,clin,period,hours,bill_rate,billable_amount
Thomas Cole MD,E-90571,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2026-04,151.0,179.8,27149.8
Julie King,E-80184,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2026-07,155.0,179.8,27869.0
Gina Carter,E-27048,Systems Engineer,Secret,7026HEXDVC0001043,0001,2026-07,180.0,136.53,24575.4
Katie Rodriguez,E-48932,Systems Engineer,Secret,7026HEXDVC0001043,0001,2026-07,151.0,136.53,20616.03
Christopher Ashley,E-80957,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-08,167.0,298.26,49809.42
Kathryn Smith PhD,E-09493,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-09,174.0,298.26,51897.24
Timothy Koch,E-43039,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-11,157.0,298.26,46826.82
Angelica Tucker,E-18227,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-06,180.0,298.26,53686.8
Carmen Rose,E-96383,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-06,162.0,298.26,48318.12
Jennifer Powers,E-57871,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-07,176.0,141.28,24865.28
Anne Rodriguez,E-45058,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-03,153.0,141.28,21615.84
Austin Smith,E-83930,Business Analyst,Secret,7026HEXDVC0001043,0001,2025-09,177.0,141.28,25006.56
Mark Perez,E-05183,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-02,154.0,141.28,21757.12
Thomas Cole MD,E-90571,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2025-10,160.0,179.8,28768.0
Julie King,E-80184,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2025-11,179.0,179.8,32184.2
Gina Carter,E-27048,Systems Engineer,Secret,7026HEXDVC0001043,0001,2025-10,152.0,136.53,20752.56
Katie Rodriguez,E-48932,Systems Engineer,Secret,7026HEXDVC0001043,0001,2026-07,160.0,136.53,21844.8
Christopher Ashley,E-80957,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-02,123.0,298.26,36685.98
Kathryn Smith PhD,E-09493,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-03,172.0,298.26,51300.72
Timothy Koch,E-43039,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-10,162.0,298.26,48318.12
Angelica Tucker,E-18227,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-10,182.0,298.26,54283.32
Carmen Rose,E-96383,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-12,172.0,298.26,51300.72
Jennifer Powers,E-57871,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-02,36.0,141.28,5086.08
Anne Rodriguez,E-45058,Business Analyst,Secret,7026HEXDVC0001043,0001,2025-09,181.0,141.28,25571.68
Austin Smith,E-83930,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-08,173.0,141.28,24441.44
Mark Perez,E-05183,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-03,151.0,141.28,21333.28
Thomas Cole MD,E-90571,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2025-11,152.0,179.8,27329.6
Julie King,E-80184,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2025-10,55.0,179.8,9889.0
Gina Carter,E-27048,Systems Engineer,Secret,7026HEXDVC0001043,0001,2025-10,180.0,136.53,24575.4
Katie Rodriguez,E-48932,Systems Engineer,Secret,7026HEXDVC0001043,0001,2026-05,159.0,136.53,21708.27
Christopher Ashley,E-80957,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-09,83.0,298.26,24755.58
Kathryn Smith PhD,E-09493,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-02,181.0,298.26,53985.06
Timothy Koch,E-43039,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-06,184.0,298.26,54879.84
Angelica Tucker,E-18227,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-08,153.0,298.26,45633.78
Carmen Rose,E-96383,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-06,35.0,298.26,10439.1
Jennifer Powers,E-57871,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-07,68.0,141.28,9607.04
Anne Rodriguez,E-45058,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-01,170.0,141.28,24017.6
Austin Smith,E-83930,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-08,183.0,141.28,25854.24
Mark Perez,E-05183,Business Analyst,Secret,7026HEXDVC0001043,0001,2025-12,154.0,141.28,21757.12
Thomas Cole MD,E-90571,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2026-03,111.0,179.8,19957.8
Julie King,E-80184,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2026-01,165.0,179.8,29667.0
Gina Carter,E-27048,Systems Engineer,Secret,7026HEXDVC0001043,0001,2025-09,175.0,136.53,23892.75
Katie Rodriguez,E-48932,Systems Engineer,Secret,7026HEXDVC0001043,0001,2026-06,167.0,136.53,22800.51
Christopher Ashley,E-80957,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-10,154.0,298.26,45932.04
Kathryn Smith PhD,E-09493,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-11,172.0,298.26,51300.72
Timothy Koch,E-43039,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-06,163.0,298.26,48616.38
Angelica Tucker,E-18227,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-12,176.0,298.26,52493.76
Carmen Rose,E-96383,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-01,90.0,298.26,26843.4
Jennifer Powers,E-57871,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-04,182.0,141.28,25712.96
Anne Rodriguez,E-45058,Business Analyst,Secret,7026HEXDVC0001043,0001,2025-11,158.0,141.28,22322.24
Austin Smith,E-83930,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-01,27.0,141.28,3814.56
Mark Perez,E-05183,Business Analyst,Secret,7026HEXDVC0001043,0001,2025-12,137.0,141.28,19355.36
Thomas Cole MD,E-90571,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2026-01,32.0,179.8,5753.6
Julie King,E-80184,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2025-12,36.0,179.8,6472.8
Gina Carter,E-27048,Systems Engineer,Secret,7026HEXDVC0001043,0001,2026-05,68.0,136.53,9284.04
Katie Rodriguez,E-48932,Systems Engineer,Secret,7026HEXDVC0001043,0001,2025-09,110.0,136.53,15018.3
Christopher Ashley,E-80957,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-10,161.0,298.26,48019.86
Kathryn Smith PhD,E-09493,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-12,165.0,298.26,49212.9
Timothy Koch,E-43039,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-07,158.0,298.26,47125.08
Angelica Tucker,E-18227,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-05,170.0,298.26,50704.2
Carmen Rose,E-96383,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2025-09,150.0,298.26,44739.0
Jennifer Powers,E-57871,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-08,158.0,141.28,22322.24
Anne Rodriguez,E-45058,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-05,25.0,141.28,3532.0
Austin Smith,E-83930,Business Analyst,Secret,7026HEXDVC0001043,0001,2025-12,167.0,141.28,23593.76
Mark Perez,E-05183,Business Analyst,Secret,7026HEXDVC0001043,0001,2025-11,182.0,141.28,25712.96
Thomas Cole MD,E-90571,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2026-01,158.0,179.8,28408.4
Julie King,E-80184,Program Manager (PMP),Secret,7026HEXDVC0001043,0001,2026-07,40.0,179.8,7192.0
Gina Carter,E-27048,Systems Engineer,Secret,7026HEXDVC0001043,0001,2026-02,162.0,136.53,22117.86
Katie Rodriguez,E-48932,Systems Engineer,Secret,7026HEXDVC0001043,0001,2025-10,175.0,136.53,23892.75
Christopher Ashley,E-80957,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-08,172.0,298.26,51300.72
Kathryn Smith PhD,E-09493,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-07,162.0,298.26,48318.12
Timothy Koch,E-43039,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-01,156.0,298.26,46528.56
Angelica Tucker,E-18227,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-01,156.0,298.26,46528.56
Carmen Rose,E-96383,Senior Cyber SME,TS/SCI,7026HEXDVC0001043,0001,2026-01,181.0,298.26,53985.06
Jennifer Powers,E-57871,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-07,122.0,141.28,17236.16
Anne Rodriguez,E-45058,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-08,184.0,141.28,25995.52
Austin Smith,E-83930,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-05,131.0,141.28,18507.68
Mark Perez,E-05183,Business Analyst,Secret,7026HEXDVC0001043,0001,2026-05,167.0,141.28,23593.76
